timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1628171127650, -0.011784, -0.004444, -0.000124, -0.034286, 0.001794, -0.016661, 1
1628171127750, 0.008546, 0.006005, -0.003907, 0.029504, -0.016691, 0.015447, 1
1628171127849, -0.008774, -0.022181, -0.005988, -0.025188, 0.045627, -0.01874, 1
1628171127949, -0.00986, -0.015972, -0.034491, -0.017241, 0.18856, -0.042882, 1
1628171128049, -0.005039, -0.111032, 0.175638, -1.397853, 0.39075, -0.504519, 1
1628171128149, 0.152551, -0.110124, 0.110109, -5.110162, 1.013782, -0.888491, 1
1628171128248, 0.18738, 0.027879, 0.036683, -4.864785, 0.961968, -0.092572, 1
1628171128348, -0.139216, 0.087161, 0.10857, -0.8244, 0.181552, 0.045014, 1
1628171128448, -0.096438, 0.100793, -0.024265, -0.456338, -0.24943, -0.104821, 1
1628171128548, -0.076991, -0.079901, -0.258387, -0.390091, 0.113182, -0.129565, 1
1628171128647, -0.048037, -0.101747, 0.072547, -0.431504, -0.150292, 0.191215, 1
1628171128747, -0.074211, 0.228503, -0.047206, 0.436136, -0.011687, 1.277801, 1
1628171128847, -0.039601, 0.140282, -0.030753, 0.12623, 0.066528, 2.00672, 1
1628171128947, -0.040626, -0.030975, 0.009047, 0.155937, -0.117632, 1.840735, 1
1628171129046, -0.032463, -0.113951, 0.020853, 0.464811, -0.110044, 1.298465, 1
1628171129146, 0.005936, -0.052938, 0.008025, 0.603314, 0.008132, 1.00023, 1
1628171129246, -0.013763, -0.052034, 0.009902, 0.735847, 0.139562, 0.721647, 1
1628171129345, 0.016602, -0.029163, 0.019026, 0.718955, 0.143669, 0.508615, 1
1628171129445, 0.025466, -0.000902, 0.020135, 0.213152, 0.093872, 0.301708, 1
1628171129545, -0.011488, -0.030861, 0.028947, 0.069962, 0.058349, 0.168959, 1
1628171129645, -0.0147, -0.017576, 0.01562, 0.17543, 0.029154, 0.164749, 1
1628171129744, -0.015658, 0.0017, 0.024892, 0.154932, 0.049041, 0.132832, 1
1628171129844, -0.003571, -0.032946, 0.030195, 0.006517, 0.052939, 0.040624, 1
1628171129944, -0.001981, -0.014815, 0.014372, 0.041486, 0.062476, 0.031361, 1
1628171130044, 0.010135, 0.015301, -0.006299, 0.241533, 0.06246, 0.047139, 1
1628171130143, 0.003644, -0.00781, -0.019296, 0.113199, 0.083883, 0.022759, 1
1628171130243, 0.010337, 0.041546, -0.026438, 0.204571, 0.090669, 0.044216, 1
1628171130343, 0.008556, 0.015036, -0.013048, 0.143983, 0.085828, 0.031955, 1
1628171130443, 0.005126, 0.003775, -0.006225, 0.042022, 0.068018, 0.041414, 1
1628171130542, -0.003469, -0.016587, 0.004333, 0.042443, 0.06735, 0.047075, 1
1628171130642, 0.002792, -0.013095, 0.011743, 0.049997, 0.042965, 0.023654, 1
1628171130742, 0.01157, -0.008966, 0.006231, 0.049952, 0.038979, 0.030216, 1
1628171130842, 0.008465, 0.009104, -0.010494, 0.100127, 0.020912, 0.04835, 1
1628171130941, -0.007862, -0.005092, -0.010771, 0.076455, 0.024013, 0.013907, 1
1628171131041, 0.008298, -0.009603, 0.004344, 0.029448, 0.029747, 0.024248, 1
1628171131141, 0.007374, 0.011349, 0.00597, 0.016619, 0.02622, 0.018542, 1
1628171131240, -0.005661, 0.006008, 0.008865, -0.002689, -0.000708, -0.008035, 1
1628171131340, 0.002957, 0.004834, 0.015704, 0.000892, 0.020961, -0.011883, 1
1628171131440, 0.01258, -0.01593, 0.008145, -0.00269, 0.001548, 0.011329, 1
1628171131540, 0.007438, 0.005439, -0.00526, 0.061614, 0.015464, 0.039358, 1
1628171131639, -0.0039, -0.001901, -0.016334, 0.055301, 0.011056, 0.026021, 1
1628171131739, 0.002367, 0.001158, -0.008817, 0.016897, 0.004312, 0.005684, 1
1628171131839, 0.004955, -0.005087, 0.010475, -0.007598, 0.014852, 0.010106, 1
1628171131939, -0.003398, -0.015682, 0.014107, -0.011124, -0.000761, -0.003477, 1
1628171132038, 0.008739, -0.005611, 0.011348, -0.019116, 0.008171, 0.011493, 1
1628171132138, 0.002331, 0.000574, 0.007191, 0.00198, 0.017334, 0.018361, 1
1628171132238, 0.000799, 0.000484, -0.00769, 0.028256, 0.006412, 0.00748, 1
1628171132338, 0.003434, 0.001082, -0.00635, 0.026269, 0.005017, 0.0104, 1
1628171132437, 0.010502, 0.002204, 0.003224, -0.010797, 0.003106, -0.010619, 1
1628171132537, 0.010473, -0.002278, 0.000442, -0.023169, 0.021298, -0.002515, 1
1628171132637, 0.004204, 0.007145, -0.003949, 0.010283, -0.000947, 0.02442, 1
1628171132737, 0.00391, 0.008123, -0.006635, 0.042886, -0.003313, 0.020043, 1
1628171132836, 0.003446, -0.009259, -0.002213, -0.007354, 0.005372, 0.010512, 1
1628171132936, 0.003112, -0.007012, -0.010616, -0.012925, 0.002494, 0.0175, 1
1628171133036, 0.000146, -0.003875, -0.00035, 0.001675, -0.007554, 0.014116, 1
1628171133135, -0.001145, -0.002886, -0.001885, -0.031749, -0.010203, -0.009958, 1
1628171133235, -0.004562, -0.004173, 0.000791, 0.002026, -0.004965, -0.001072, 1
1628171133335, -0.003503, -0.011082, 0.0056, -0.004824, 0.000447, -0.005097, 1
1628171133435, -0.012603, -0.015054, 0.015648, -0.116301, -0.003076, -0.065328, 1
1628171133534, -0.008504, -0.042952, 0.009293, -0.422869, -0.001247, -0.179458, 1
1628171133634, -0.00227, -0.063083, 0.011614, -0.689187, -0.007247, -0.31209, 1
1628171133734, 0.008838, -0.062331, -0.002235, -0.803393, 0.005618, -0.484392, 1
1628171133834, -0.016216, -0.132307, -0.04774, -0.972105, 0.022305, -0.89246, 1
1628171133933, -0.0512, -0.075074, 0.041935, -0.545638, 0.047432, -1.356793, 1
1628171134033, -0.041854, -0.037251, 0.035664, -0.138237, 0.004611, -1.748589, 1
1628171134133, -0.015531, -0.004421, 0.053809, -0.712748, -0.031749, -1.877873, 1
1628171134233, -0.002569, 0.066005, 0.020401, -0.166025, -0.06107, -1.485074, 1
1628171134332, -0.052671, 0.075223, -0.039717, 0.093049, -0.001014, -1.048337, 1
