timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1620111692263, -0.008053, 0.020397, -0.007319, 0.071021, -0.013419, 0.005728, 0
1620111692363, -0.000362, -0.015488, -0.01067, 0.464431, -0.094454, -0.043869, 0
1620111692463, -0.010579, 0.049389, -0.023909, 0.694151, -0.137477, -0.005431, 0
1620111692562, -0.032358, -0.055329, -0.038588, 0.14903, -0.104951, 0.156226, 0
1620111692662, 0.004907, -0.283055, -0.187377, -1.68517, -0.88229, 0.769525, 0
1620111692762, -0.097702, -0.313721, 0.035038, -2.487001, -1.350405, 1.312054, 0
1620111692861, -0.03615, -0.188217, 0.067306, -3.102071, -1.073747, 1.448065, 0
1620111692961, 0.067879, -0.188503, 0.194115, -2.424499, -0.652279, 1.664964, 0
1620111693061, 0.151969, 0.034684, 0.079525, -0.261441, -0.06128, 1.426105, 0
1620111693160, 0.184895, 0.004419, 0.067804, -0.508962, 0.075517, 0.817422, 0
1620111693260, 0.042886, 0.107025, -0.006248, 0.257238, 0.125683, 0.296952, 0
1620111693360, 0.030438, -0.006207, -0.096228, 0.313467, 0.134517, 0.342467, 0
1620111693459, 0.017793, -0.027269, -0.074941, -0.146002, -0.101064, 0.298184, 0
1620111693559, -0.01778, 0.00894, -0.117059, 0.144997, -0.197002, -0.127404, 0
1620111693659, 0.059408, -0.111264, 0.010015, -0.798456, 0.148325, -0.04875, 0
1620111693759, 0.053017, 0.077895, -0.033498, -0.792177, 0.045838, -0.3522, 0
1620111693858, 0.008226, 0.102105, -0.158333, 1.328429, 0.260804, -0.569271, 0
1620111693958, 0.107336, 0.126768, -0.153775, -0.59122, -0.20209, -0.952182, 0
1620111694058, 0.13307, 0.088532, -0.011693, -0.260084, 0.075834, -1.604167, 0
1620111694157, 0.099477, 0.055501, -0.033796, -0.654586, 0.108548, -1.758482, 0
1620111694257, -0.002257, -0.030157, -0.107196, -0.567042, 0.407512, -1.707241, 0
1620111694357, 0.081939, -0.021456, -0.029204, 0.453797, 0.632744, -1.522362, 0
1620111694456, 0.028978, -0.057662, 0.078967, -0.56241, 0.556152, -1.169926, 0
1620111694556, -0.027797, -0.112794, 0.017449, 0.334335, 0.22431, -0.937385, 0
