timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1626271972711, 0.061223, -0.01343, 0.000769, -0.081672, -0.089056, 0.036264, 0
1626271972810, 0.002611, 0.018762, 0.009806, 0.056309, 0.032818, -0.056452, 0
1626271972909, 0.012994, 0.000082, -0.00462, 0.052703, 0.021293, -0.011151, 0
1626271973009, 0.003689, -0.004851, -0.004365, 0.001195, -0.010902, 0.022822, 0
1626271973108, 0.004122, -0.017319, 0.018701, 0.019729, 0.006312, 0.122385, 0
1626271973207, 0.003014, 0.00621, -0.014824, 0.133652, -0.041803, 0.242484, 0
1626271973307, -0.016265, -0.021736, 0.018155, -0.15935, -0.114868, 0.267225, 0
1626271973406, -0.007018, -0.021556, 0.003055, -0.44123, -0.1536, 0.233286, 0
1626271973505, 0.005928, 0.038997, -0.018832, -0.035952, -0.062074, 0.060372, 0
1626271973605, 0.024421, 0.023124, 0.028862, 0.012383, -0.018682, -0.046414, 0
1626271973704, 0.0201, 0.006811, 0.007612, 0.029965, -0.007516, -0.032808, 0
1626271973803, -0.013752, -0.011315, -0.001915, 0.044992, 0.0262, -0.003382, 0
1626271973902, -0.005666, 0.004234, -0.023679, 0.0479, 0.008227, 0.010015, 0
1626271974002, -0.010214, -0.008606, -0.001428, 0.009797, -0.021869, 0.026225, 0
1626271974101, -0.016483, 0.017558, 0.004429, 0.064868, 0.002331, 0.004823, 0
1626271974200, 0.001323, -0.005417, -0.001481, -0.014945, -0.028372, -0.016289, 0
1626271974300, -0.009293, -0.018298, 0.020006, -0.082407, -0.014399, -0.013185, 0
1626271974399, -0.000801, 0.021656, 0.006648, 0.224753, -0.002797, -0.04773, 0
1626271974498, -0.010242, -0.013008, -0.002217, -0.041178, -0.041596, -0.002797, 0
1626271974598, -0.005866, 0.009189, -0.000753, -0.036364, -0.034421, 0.034385, 0
1626271974697, -0.019607, 0.008482, -0.021255, -0.187914, -0.106931, 0.159526, 0
1626271974796, -0.142169, -0.276739, 0.145415, -2.902156, -0.127622, 0.602242, 0
1626271974896, -0.028591, -0.03633, 0.00437, -2.31233, -0.041393, 0.936139, 0
1626271974995, 0.042365, 0.080666, -0.017809, -2.289942, -0.038133, 0.455801, 0
1626271975094, -0.089388, -0.041944, 0.102545, -0.994871, 0.194304, 0.254234, 0
1626271975194, 0.113671, -0.02389, -0.004848, -0.080221, -0.042606, 0.469459, 0
1626271975293, 0.121435, 0.087306, -0.118087, -1.07415, 0.166638, 0.483271, 0
1626271975392, 0.086302, 0.0697, -0.12587, -0.116976, 0.053758, -0.337582, 0
1626271975492, 0.127744, 0.159261, -0.124236, 0.508035, -0.189734, -0.882128, 0
1626271975591, 0.115894, 0.119196, -0.123843, -0.065361, -0.640218, -1.263298, 0
1626271975690, 0.123964, 0.071471, 0.013527, -0.360108, -0.799304, -1.403681, 0
1626271975790, 0.038493, 0.079879, 0.04472, 0.39219, -0.818447, -1.26367, 0
1626271975889, 0.016681, 0.017659, 0.131018, 1.206537, -0.617733, -1.008937, 0
1626271975988, -0.032184, -0.108018, 0.116748, 0.931262, -0.47261, -0.602597, 0
1626271976087, -0.11814, -0.064682, 0.114556, 0.802057, -0.282158, -0.358627, 0
1626271976187, -0.052701, -0.049511, 0.070204, 0.694809, -0.238903, -0.228301, 0
1626271976286, -0.03043, -0.056957, 0.101745, 0.344422, -0.215731, -0.130439, 0
1626271976385, 0.008499, -0.020328, 0.067196, 0.190482, -0.225296, -0.030074, 0
1626271976485, 0.019795, 0.031714, 0.014917, 0.339423, -0.228561, -0.066839, 0
1626271976584, -0.005426, -0.012604, -0.049824, 0.219109, -0.193341, -0.060573, 0
