timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1616775447167, -0.030714, 0.028985, -0.006951, 0.079478, 0.012916, 0.059589, 0
1616775447267, 0.002716, -0.020078, 0.005047, -0.029501, -0.008193, -0.00871, 0
1616775447367, -0.000529, 0.005524, -0.004376, 0.02527, 0.001518, -0.02017, 0
1616775447467, -0.007582, -0.003585, 0.000419, 0.051932, -0.003893, -0.012026, 0
1616775447566, -0.001769, -0.017129, 0.011973, 0.003491, 0.006561, -0.019134, 0
1616775447666, 0.003884, -0.006573, 0.009914, -0.024759, -0.002744, 0.007919, 0
1616775447766, -0.000379, 0.00163, 0.007633, 0.038613, -0.001978, 0.031423, 0
1616775447865, 0.0005, -0.004526, -0.00506, -0.006091, -0.01318, 0.043033, 0
1616775447965, -0.000769, -0.013786, 0.000346, 0.046173, 0.011815, -0.000693, 0
1616775448065, -0.000126, -0.01484, 0.009909, 0.039693, 0.008207, -0.017279, 0
1616775448164, 0.003965, -0.039477, 0.004166, -0.069675, -0.000844, -0.011785, 0
1616775448264, -0.02656, -0.015797, 0.013917, -0.605535, -0.066683, -0.014029, 0
1616775448364, 0.042983, -0.044738, -0.105037, -0.746389, -0.387902, 0.364023, 0
1616775448464, 0.128715, -0.114004, -0.125605, -2.027444, -1.53406, 0.570737, 0
1616775448563, -0.004945, 0.047956, 0.247191, -3.119827, -1.672146, 0.320356, 0
1616775448663, -0.186089, -0.05325, 0.371995, -3.577473, 0.10466, 0.026398, 0
1616775448763, 0.007626, -0.100851, -0.008348, 0.295138, 1.052116, 0.540854, 0
1616775448862, 0.021483, 0.026393, -0.132714, 0.148393, 0.880953, 0.228289, 0
1616775448962, 0.050212, 0.042638, -0.074173, -0.398271, 0.344603, 0.170187, 0
1616775449062, 0.02699, 0.017487, 0.022333, -0.570772, 0.52403, 0.082524, 0
1616775449162, 0.050124, -0.070684, 0.017691, -1.09223, 0.127754, -0.079755, 0
1616775449261, 0.028798, -0.015433, 0.056962, -0.226558, 0.204928, -0.016964, 0
1616775449361, -0.007966, -0.003905, 0.010209, 0.021316, 0.109646, -0.017856, 0
1616775449461, 0.013257, 0.012089, 0.004664, 0.272989, 0.077701, -0.03723, 0
1616775449560, 0.004725, -0.008431, 0.008299, 0.167584, 0.094773, -0.028202, 0
